PlayerName,DateOfBirth,Nationality,Weight Kg,Height Cm,PlayingPosition
Darnell Furlong,1995-10-31,England,,183.0,Defender
Kieran Gibbs,1989-09-26,England,,181.0,Defender
Kyle Bartley,1991-05-22,England,,185.0,Defender
Semi Ajayi,1993-11-09,Nigeria,,193.0,Defender
Conor Townsend,1993-03-04,England,,168.0,Defender
Ahmed Hegazi,1991-01-25,Egypt,,193.0,Defender
Dara O'Shea,1999-03-04,Ireland,,188.0,Defender
Jake Livermore,1989-11-14,England,,181.0,Midfielder
Matt Phillips,1991-03-13,Scotland,,185.0,Midfielder
Kamil Grosicki,1988-06-08,Poland,,180.0,Midfielder
Rekeem Harper,2000-03-08,England,,188.0,Midfielder
Romaine Sawyers,1991-11-02,St. Kitts & Nevis,,175.0,Midfielder
Jonathan Leko,1999-04-24,England,,182.0,Midfielder
Sam Field,1998-05-08,England,,191.0,Midfielder
Hal Robson-Kanu,1989-05-21,Wales,,183.0,Forward
Kenneth Zohore,1994-01-31,Denmark,,189.0,Forward
Matheus Pereira,1996-05-05,Brazil,,175.0,Forward
Charlie Austin,1989-07-05,England,,188.0,Forward
Kyle Edwards,1998-02-17,England,,172.0,Forward
Rayhaan Tulloch,2001-01-20,England,,178.0,Midfielder
Finn Azaz,2000-09-07,England,,,Midfielder
Grady Diangana,1998-04-19,England,,180.0,Midfielder
Callum Robinson,1995-02-02,Ireland,,178.0,Forward
Jonathan Bond,1993-05-19,England,,196.0,Goalkeeper
Chris Brunt,1984-12-14,Northern Ireland,,187.0,Midfielder
Saul Shotton,2000-11-10,England,,184.0,Defender
Lee Peltier,1986-12-11,England,,178.0,Defender
Gareth Barry,1981-02-23,England,,185.0,Midfielder
Rico Richards,2003-09-27,England,,,Midfielder
Cédric Kipré,1996-12-09,Cote D’Ivoire,,193.0,Defender
Branislav Ivanovic,1984-02-22,Serbia,,185.0,Defender
Jamie Soule,2000-11-26,England,,,Forward
Filip Krovinovic,1995-08-29,Croatia,,175.0,Midfielder
Karlan Grant,1997-09-18,England,,180.0,Forward
Cheikh Diaby,2000-03-07,France,,,Forward
Robert Snodgrass,1987-09-07,Scotland,,182.0,Midfielder
George Harmon,2000-12-08,England,,,Defender
Mbaye Diagne,1991-10-28,Senegal,,191.0,Forward
Okay Yokuslu,1994-03-09,Turkey,,190.0,Midfielder
Caleb Taylor,2003-01-14,England,,,Midfielder
Taylor Gardner-Hickman,2001-12-30,England,,,Defender
Toby King,2002-01-04,England,,,Midfielder
Roberto Jiménez,1986-02-10,Spain,,192.0,Goalkeeper
Fabián Balbuena,1991-08-23,Paraguay,,188.0,Defender
Gonçalo Cardoso,2000-10-21,Portugal,,189.0,Defender
Felipe Anderson,1993-04-15,Brazil,,175.0,Midfielder
Jack Wilshere,1992-01-01,England,,172.0,Midfielder
Sébastien Haller,1994-06-22,Cote D’Ivoire,,190.0,Forward
Albian Ajeti,1997-02-26,Switzerland,,183.0,Forward
Joseph Anang,2000-06-08,England,,,Goalkeeper
Bernardo Rosa,2000-09-20,Brazil,,,Midfielder
Alfie Lewis,1999-09-28,England,,,Midfielder
Nathan Trott,1998-11-21,England,,188.0,Goalkeeper
Josh Cullen,1996-04-07,Ireland,,175.0,Midfielder
Xande Silva,1997-03-16,Portugal,,177.0,Forward
Conor Coventry,2000-03-25,Ireland,,177.0,Midfielder
Frederik Alves,1999-11-08,Denmark,,195.0,Defender
Nathan Holland,1998-06-19,England,,178.0,Midfielder
Ademipo Odubeko,2002-10-21,Ireland,,,Forward
Oladapo Afolayan,1997-09-11,England,,180.0,Forward
Rui Patrício,1988-02-15,Portugal,,190.0,Goalkeeper
Rúben Vinagre,1999-04-09,Portugal,,174.0,Defender
Oskar Buur,1998-03-31,Denmark,,180.0,Defender
Bruno Jordão,1998-10-12,Portugal,,180.0,Midfielder
Morgan Gibbs-White,2000-01-27,England,,171.0,Midfielder
Leonardo Campana,2000-07-24,Ecuador,,187.0,Forward
Adama Traoré,1996-01-25,Spain,,178.0,Forward
Austin Samuels,2000-11-20,England,,,Forward
Owen Otasowie,2001-01-06,United States,,191.0,Midfielder
Taylor Perry,2001-07-15,England,,,Midfielder
Meritan Shabani,1999-03-15,Germany,,185.0,Midfielder
Andreas Söndergaard,2001-01-17,Denmark,,189.0,Goalkeeper
Lewis Richards,2001-10-15,Ireland,,,Defender
Terry Taylor,2001-06-29,Wales,,185.0,Midfielder
Ryan Giles,2000-01-26,England,,179.0,Midfielder
Christian Marques,2003-01-15,Portugal,,187.0,Defender
Vitinha,2000-02-13,Portugal,,172.0,Midfielder
Theo Corbeanu,2002-05-17,Canada,,190.0,Forward
Patrick Cutrone,1998-01-03,Italy,,183.0,Forward
Nigel Lonwijk,2002-10-27,Netherlands,,188.0,Defender
Willian José,1991-11-23,Brazil,,189.0,Forward
Petr Cech,1982-05-20,Czech Republic,,196.0,Goalkeeper
Laurent Koscielny,1985-09-10,France,,186.0,Defender
Stephan Lichtsteiner,1984-01-16,Switzerland,,182.0,Defender
Nacho Monreal,1986-02-26,Spain,,179.0,Defender
Carl Jenkinson,1992-02-08,England,,185.0,Defender
Konstantinos Mavropanos,1997-12-11,Greece,,194.0,Defender
Julio Pleguezuelo,1997-01-26,Spain,,180.0,Defender
Aaron Ramsey,1990-12-26,Wales,,178.0,Midfielder
Denis Suárez,1994-01-06,Spain,,176.0,Midfielder
David Ospina,1988-08-31,Colombia,,183.0,Goalkeeper
Dominic Thompson,2000-07-26,England,,,Defender
Mark Bunn,1984-11-16,England,,183.0,Goalkeeper
James Chester,1989-01-23,Wales,,180.0,Defender
Alan Hutton,1984-11-30,Scotland,,185.0,Defender
Tommy Elphick,1987-09-07,England,,180.0,Defender
Glenn Whelan,1984-01-13,Ireland,,180.0,Midfielder
Tom Carroll,1992-05-28,England,,177.0,Midfielder
Mile Jedinak,1984-08-03,Australia,,189.0,Midfielder
Andre Green,1998-07-26,England,,180.0,Midfielder
Birkir Bjarnason,1988-05-27,Iceland,,183.0,Midfielder
Albert Adomah,1987-12-13,Ghana,,185.0,Midfielder
Jonathan Kodjia,1989-10-22,Cote D’Ivoire,,191.0,Forward
James Bree,1997-12-11,England,,172.0,Defender
Mitchell Clark,1999-03-13,Wales,,,Defender
Jake Doyle-Hayes,1998-12-30,Ireland,,,Midfielder
Callum O'Hare,1998-05-01,England,,175.0,Midfielder
Scott Hogan,1992-04-13,Ireland,,180.0,Forward
Rushian Marcus Amari Hepburn-Murphy,1998-08-28,England,,173.0,Forward
Harry McKirdy,1997-03-29,England,,175.0,Forward
Ross McCormack,1986-08-18,Scotland,,175.0,Forward
Aaron Tshibola,1995-01-02,DR Congo,,190.0,Midfielder
Borja Bastón,1992-08-25,Spain,,186.0,Forward
Artur Boruc,1980-02-20,Poland,,193.0,Goalkeeper
Mark Travers,1999-05-18,Ireland,,191.0,Goalkeeper
Simon Francis,1985-02-16,England,,183.0,Defender
Steve Cook,1991-04-19,England,,185.0,Defender
Charlie Daniels,1986-09-07,England,,178.0,Defender
Adam Smith,1991-04-29,England,,180.0,Defender
Diego Rico,1993-02-23,Spain,,183.0,Defender
Jack Simpson,1996-12-18,England,,178.0,Defender
Chris Mepham,1997-11-05,Wales,,191.0,Defender
Andrew Surman,1986-08-20,England,,178.0,Midfielder
Jefferson Lerma,1994-10-25,Colombia,,179.0,Midfielder
Jordon Ibe,1995-12-08,England,,176.0,Midfielder
Lewis Cook,1997-02-03,England,,175.0,Midfielder
Junior Stanislas,1989-11-26,England,,183.0,Midfielder
David Brooks,1997-07-08,Wales,,173.0,Midfielder
Kyle Taylor,1999-05-26,England,,,Midfielder
Matt Butcher,1997-05-14,England,,188.0,Midfielder
Nnamdi Ofoborh,1999-11-07,Nigeria,,175.0,Midfielder
Dominic Solanke,1997-09-14,England,,187.0,Forward
Sam Surridge,1998-07-28,England,,191.0,Forward
Marc Pugh,1987-04-02,England,,180.0,Midfielder
Mihai-Alexandru Dobre,1998-08-30,Romania,,185.0,Midfielder
Jermain Defoe,1982-10-07,England,,171.0,Forward
Lloyd Kelly,1998-10-06,England,,178.0,Defender
Connor Mahoney,1997-02-12,England,,175.0,Midfielder
Jack Stacey,1996-04-06,England,,180.0,Defender
Philip Billing,1996-06-11,Denmark,,193.0,Midfielder
Arnaut Danjuma,1997-01-31,Netherlands,,178.0,Forward
William Dennis,2000-07-10,England,,,Goalkeeper
Jordan Zemura,1999-11-14,Zimbabwe,,,Defender
Sam Sherring,2000-05-08,England,,,Defender
Gavin Kilkenny,2000-02-01,Ireland,,,Midfielder
Brennan Camp,2000-10-12,Scotland,,,Defender
Corey Jordan,1999-03-04,England,,185.0,Defender
Christian Saydee,2002-05-10,England,,181.0,Midfielder
Brooklyn Genesini,2001-12-12,England,,,Defender
Bruno,1980-10-01,Spain,,181.0,Defender
Gaëtan Bong,1988-04-25,Cameroon,,187.0,Defender
Leon Balogun,1988-06-28,Nigeria,,190.0,Defender
Leo Østigård,1999-11-28,Norway,,182.0,Defender
Will Collar,1997-02-03,England,,181.0,Midfielder
Jürgen Locadia,1993-11-07,Netherlands,,187.0,Forward
Jan Mlakar,1998-10-23,Slovenia,,183.0,Forward
Markus Suttner,1987-04-16,Austria,,179.0,Defender
Ben Barclay,1996-10-07,England,,,Defender
Tomer Hemed,1987-05-02,Israel,,186.0,Forward
Matthew Clarke,1996-09-22,England,,185.0,Defender
Billy Arce,1998-07-12,Ecuador,,178.0,Midfielder
Soufyan Ahannach,1995-09-09,Netherlands,,179.0,Midfielder
Bojan Radulovi&#263;,1999-12-29,Serbia,,191.0,Forward
Archie Davies,1998-10-07,England,,,Defender
Andrew Crofts,1984-05-29,Wales,,175.0,Midfielder
Jordan Davies,1998-08-18,Wales,,,Midfielder
Anders Lindegaard,1984-04-13,Denmark,,193.0,Goalkeeper
Adam Legzdins,1986-11-28,England,,190.0,Goalkeeper
Stephen Ward,1985-08-20,Ireland,,184.0,Defender
Steven Defour,1988-04-15,Belgium,,173.0,Midfielder
Peter Crouch,1981-01-30,England,,201.0,Forward
Daniel Agyei,1997-06-01,England,,183.0,Forward
Jonathan Walters,1983-09-20,Ireland,,183.0,Forward
Sam Vokes,1989-10-21,Wales,,186.0,Forward
Ntumba Massanka,1996-11-30,England,,191.0,Midfielder
Nahki Wells,1990-06-01,Bermuda,,170.0,Forward
Aiden O'Neill,1998-07-04,Australia,,178.0,Midfielder
Joel Senior,1999-06-24,England,,,Defender
Robert Green,1980-01-18,England,,187.0,Goalkeeper
Marcin Bulka,1999-10-04,Poland,,199.0,Goalkeeper
Gonzalo Higuaín,1987-12-10,Argentina,,186.0,Forward
Abdul Rahman Baba,1994-07-02,Ghana,,180.0,Defender
Álvaro Morata,1992-10-23,Spain,,190.0,Forward
Matt Miazga,1995-07-19,United States,,191.0,Defender
Cesc Fàbregas,1987-05-04,Spain,,180.0,Midfielder
Tomas Kalas,1993-05-15,Czech Republic,,183.0,Defender
Iké Ugbo,1998-09-21,Canada,,184.0,Forward
Lucas Piazon,1994-01-20,Brazil,,182.0,Midfielder
Kasey Palmer,1996-11-09,Jamaica,,175.0,Midfielder
Dujon Sterling,1999-10-24,England,,186.0,Midfielder
Isaiah Brown,1997-01-07,England,,182.0,Forward
Julian Speroni,1979-05-18,Argentina,,186.0,Goalkeeper
Lucas Perri,1997-12-10,Brazil,,194.0,Goalkeeper
Joe Tupper,1997-11-15,England,,,Goalkeeper
Pape Souaré,1990-06-06,Senegal,,178.0,Defender
Bakary Sako,1988-04-26,Mali,,183.0,Midfielder
Luke Dreher,1998-11-27,England,,184.0,Midfielder
Giovanni McGregor,1999-01-09,England,,,Midfielder
Sullay Kaikai,1995-08-26,Sierra Leone,,182.0,Midfielder
Alexander Sørloth,1995-12-05,Norway,,195.0,Forward
Jonathan Williams,1993-10-09,Wales,,168.0,Midfielder
Jordon Mutch,1991-12-02,England,,188.0,Midfielder
Jason David Ian Puncheon,1986-06-18,England,,173.0,Midfielder
Víctor Camarasa,1994-05-28,Spain,,183.0,Midfielder
James Daly,2000-01-12,England,,,Forward
Mateusz Hewelt,1996-09-23,Poland,,186.0,Goalkeeper
Idrissa Gueye,1989-09-26,Senegal,,174.0,Midfielder
Morgan Schneiderlin,1989-11-08,France,,181.0,Midfielder
Jiang Guangtai,1994-05-27,China,,181.0,Defender
Cuco Martina,1989-09-25,Curacao,,185.0,Defender
Callum Connolly,1997-09-23,England,,183.0,Defender
Matthew Pennington,1994-10-06,England,,185.0,Defender
Joe Williams,1996-12-08,England,,185.0,Midfielder
Luke Garbutt,1993-05-21,England,,179.0,Defender
Kevin Mirallas,1987-10-05,Belgium,,182.0,Midfielder
Henry Onyekuru,1997-06-05,Nigeria,,175.0,Forward
Shani Tarashaj,1995-02-07,Switzerland,,176.0,Forward
Oumar Niasse,1990-04-18,Senegal,,182.0,Forward
Lewis Gibson,2000-07-19,England,,185.0,Defender
Danny Simpson,1987-01-04,England,,176.0,Defender
Shinji Okazaki,1986-04-16,Japan,,174.0,Forward
Yohan Benalouane,1987-03-28,Tunisia,,185.0,Defender
Vicente Iborra,1988-01-16,Spain,,190.0,Midfielder
Bartosz Kapustka,1996-12-23,Poland,,179.0,Midfielder
Leonardo Ulloa,1986-07-26,Argentina,,188.0,Forward
Andy King,1988-10-29,Wales,,184.0,Midfielder
Daniel Iversen,1997-07-19,Denmark,,191.0,Goalkeeper
Callum Elder,1995-01-27,Australia,,180.0,Defender
Adam Leathers,2001-11-14,England,,,Midfielder
Will Russ,2002-11-08,Wales,,,Forward
Viktor Johansson,1998-09-14,Sweden,,186.0,Goalkeeper
Callum Wright,2000-05-02,England,,,Midfielder
Terell Pennant,2002-09-14,England,,,Forward
Layton Ndukwu,1998-09-07,England,,177.0,Forward
Calvin Bassey,1999-12-31,Nigeria,,185.0,Defender
Elliott Moore,1997-03-16,England,,,Defender
Simon Mignolet,1988-03-06,Belgium,,193.0,Goalkeeper
Alberto Moreno,1992-07-05,Spain,,171.0,Defender
Isaac Christie-Davies,1997-10-18,Wales,,188.0,Midfielder
Rafael Camacho,2000-05-22,Portugal,,175.0,Midfielder
Daniel Sturridge,1989-09-01,England,,188.0,Forward
Allan,1997-03-03,Brazil,,175.0,Midfielder
Lazar Markovic,1994-03-02,Serbia,,175.0,Midfielder
Ragnar Klavan,1985-10-30,Estonia,,187.0,Defender
Daniel Atherton,1999-12-18,England,,,Goalkeeper
George Johnston,1998-09-01,Scotland,,181.0,Defender
Paul Glatzel,2001-02-20,England,,,Midfielder
Ryan Kent,1996-11-11,England,,172.0,Midfielder
Bobby Duncan,2001-06-26,England,,,Forward
Ovie Ejaria,1997-11-18,England,,183.0,Midfielder
Pedro Chirivella,1997-05-23,Spain,,178.0,Midfielder
Herbie Kane,1998-11-23,England,,177.0,Midfielder
Daniel Grimshaw,1998-01-16,England,,185.0,Goalkeeper
Danilo,1991-07-15,Brazil,,184.0,Defender
Vincent Kompany,1986-04-10,Belgium,,193.0,Defender
Eliaquim Mangala,1991-02-13,France,,188.0,Defender
Philippe Sandler,1997-02-10,Netherlands,,188.0,Defender
Cameron Humphreys-Grant,1998-08-22,England,,185.0,Defender
Marlos Moreno,1996-09-20,Colombia,,171.0,Forward
Brahim Díaz,1999-08-03,Spain,,171.0,Forward
Jason Denayer,1995-06-28,Belgium,,184.0,Defender
Daniel Arzani,1999-01-04,Australia,,171.0,Midfielder
Patrick Roberts,1997-02-05,England,,168.0,Midfielder
Luke Bolton,1999-10-07,England,,174.0,Midfielder
Lukas Nmecha,1998-12-14,Germany,,185.0,Forward
Angeliño,1997-01-04,Spain,,175.0,Defender
Ben Knight,2002-06-14,England,,,Midfielder
Iker Pozo,2000-08-06,Spain,,,Midfielder
Aleix García,1997-06-28,Spain,,173.0,Midfielder
Nabili Zoubdi Touaizi,2001-02-01,Morocco,,,Forward
Gavin Bazunu,2002-02-20,Ireland,,189.0,Goalkeeper
Slobodan Tedic,2000-04-13,Serbia,,190.0,Forward
Antonio Valencia,1985-08-04,Ecuador,,180.0,Defender
Matteo Darmian,1989-12-02,Italy,,182.0,Defender
Ander Herrera,1989-08-14,Spain,,182.0,Midfielder
Angel Gomes,2000-08-31,England,,161.0,Midfielder
Joshua Bohui,1999-03-03,England,,180.0,Forward
Marouane Fellaini,1987-11-22,Belgium,,194.0,Midfielder
Ethan Hamilton,1998-10-18,Scotland,,187.0,Forward
Kieran O'Hara,1996-04-22,Ireland,,191.0,Goalkeeper
Joel Pereira,1996-06-28,Portugal,,188.0,Goalkeeper
Largie Ramazani,2001-02-27,Belgium,,167.0,Forward
Nathan Harker,1998-11-05,England,,,Goalkeeper
Freddie Woodman,1997-03-04,England,,188.0,Goalkeeper
Antonio Barreca,1995-03-18,Italy,,180.0,Defender
Ki Sung-Yeung,1989-01-24,South Korea,,189.0,Midfielder
Mohamed Diamé,1987-06-14,Senegal,,184.0,Midfielder
Kelland Watts,1999-11-03,England,,,Midfielder
Joselu,1990-03-27,Spain,,192.0,Forward
Callum Roberts,1997-04-14,England,,,Midfielder
Jack Colback,1989-10-24,England,,177.0,Midfielder
Rolando Aarons,1995-11-16,England,,178.0,Midfielder
Achraf Lazaar,1992-01-22,Morocco,,184.0,Defender
Jamie Sterry,1995-11-21,England,,180.0,Defender
Owen Bailey,1999-01-22,England,,,Midfielder
Jetro Willems,1994-03-30,Netherlands,,169.0,Defender
Liam Gibson,1997-04-25,England,,185.0,Defender
Peter Keen,1976-11-16,England,,183.0,Goalkeeper
Aston Oxborough,1998-05-09,England,,,Goalkeeper
Ivo Pinto,1990-01-07,Portugal,,182.0,Defender
Timm Klose,1988-05-09,Switzerland,,193.0,Defender
Felix Passlack,1998-05-29,Germany,,170.0,Defender
Philip Heise,1991-06-20,Germany,,184.0,Defender
Timi Odusina,1999-10-28,England,,,Defender
Mario Vrancic,1989-05-23,Bosnia & Herzegovina,,187.0,Midfielder
Moritz Leitner,1992-12-08,Germany,,174.0,Midfielder
Marco Stiepermann,1991-02-09,Germany,,190.0,Midfielder
Tom Trybull,1993-03-09,Germany,,181.0,Midfielder
Onel Hernández,1993-02-01,Cuba,,172.0,Midfielder
Alexander Tettey,1986-04-04,Norway,,180.0,Midfielder
Louis Thompson,1994-12-19,Wales,,180.0,Midfielder
Todd Cantwell,1998-02-27,England,,177.0,Midfielder
Alfie Payne,1999-10-07,England,,,Midfielder
Jordan Rhodes,1990-02-05,Scotland,,185.0,Forward
Dennis Srbeny,1994-05-05,Germany,,189.0,Forward
Marcel Franke,1993-04-05,Germany,,193.0,Defender
Sean Raggett,1993-04-17,England,,181.0,Defender
Josip Drmic,1992-08-08,Switzerland,,183.0,Forward
James Husband,1994-01-03,England,,179.0,Defender
Ben Marshall,1991-03-29,England,,183.0,Midfielder
Nélson Oliveira,1991-08-08,Portugal,,186.0,Forward
Yanic-Sonny Wildschut,1991-11-01,Suriname,,187.0,Forward
Ralf Fährmann,1988-09-27,Germany,,197.0,Goalkeeper
Ibrahim Amadou,1993-04-06,France,,183.0,Midfielder
Archie Mair,2001-02-10,Scotland,,198.0,Goalkeeper
Akin Famewo,1998-11-09,England,,187.0,Defender
Rocky Bushiri,1999-11-30,Belgium,,186.0,Defender
Ondrej Duda,1994-12-05,Slovakia,,181.0,Midfielder
Josh Martin,2001-09-09,England,,,Midfielder
Sam McCallum,2000-09-02,England,,,Defender
Melvin Sitti,2000-02-14,France,,182.0,Midfielder
Mason Bloomfield,1996-11-04,England,,191.0,Forward
Jordan Thomas,2001-01-02,England,,,Defender
Daniel Adshead,2001-09-02,England,,167.0,Midfielder
Jake Wright,1986-03-11,England,,186.0,Defender
Richard Stearman,1987-08-19,England,,191.0,Defender
Martin Cranie,1986-09-26,England,,183.0,Defender
Paul Coutts,1988-07-22,Scotland,,183.0,Midfielder
Mark Duffy,1985-10-07,England,,175.0,Midfielder
Marvin Johnson,1990-12-01,England,,178.0,Midfielder
Gary Madine,1990-08-24,England,,193.0,Forward
Conor Washington,1992-05-18,Northern Ireland,,178.0,Forward
Ben Heneghan,1993-09-19,England,,191.0,Defender
Daniel Lafferty,1989-05-18,Northern Ireland,,180.0,Defender
Nathan Thomas,1994-09-27,England,,178.0,Midfielder
Ricky Holmes,1987-06-19,England,,173.0,Midfielder
Samir Carruthers,1993-04-04,Ireland,,173.0,Midfielder
Tyler Smith,1998-12-04,England,,178.0,Forward
Caolan Lavery,1992-10-22,Northern Ireland,,180.0,Forward
Ched Evans,1988-12-28,Wales,,183.0,Forward
Ravel Morrison,1993-02-02,Jamaica,,175.0,Midfielder
David Parkhouse,1999-10-24,Northern Ireland,,,Forward
Panagiotis Retsos,1998-08-09,Greece,,186.0,Defender
Josh Sims,1997-03-28,England,,174.0,Midfielder
Tyreke Johnson,1998-11-03,England,,185.0,Midfielder
Callum Slattery,1999-02-08,England,,175.0,Midfielder
Sam Gallagher,1995-09-15,England,,194.0,Forward
Marcus Barnes,1996-12-01,England,,185.0,Forward
Manolo Gabbiadini,1991-11-26,Italy,,181.0,Forward
Steven Davis,1985-01-01,Northern Ireland,,173.0,Midfielder
Sam McQueen,1995-02-06,England,,180.0,Defender
Jake Flannigan,1996-02-02,England,,180.0,Midfielder
Jake Hesketh,1996-03-27,England,,168.0,Midfielder
Jordy Clasie,1991-06-27,Netherlands,,169.0,Midfielder
Jack Bycroft,2001-09-21,England,,,Goalkeeper
Oludare Olufunwa,2001-07-29,England,,,Defender
Thomas O'Connor,1999-04-21,Ireland,,,Defender
Aaron O'Driscoll,1999-04-04,Ireland,,188.0,Defender
Christoph Klarer,2000-06-14,Austria,,191.0,Midfielder
Kornelius Normann Hansen,2001-05-06,Norway,,175.0,Midfielder
Michael Stensgaard,1974-09-01,Denmark,,188.0,Goalkeeper
