PlayerName,DateOfBirth,Nationality,Weight Kg,Height Cm,PlayingPosition
Timothy Eyoma,2000-01-29,England,,183.0,Defender
Victor Wanyama,1991-06-25,Kenya,,188.0,Midfielder
Luke Amos,1997-02-23,England,,179.0,Midfielder
Vincent Janssen,1994-06-15,Netherlands,,180.0,Forward
Fernando Llorente,1985-02-26,Spain,,193.0,Forward
Kazaiah Sterling,1998-11-09,England,,175.0,Forward
Georges-Kévin Nkoudou,1995-02-13,France,,172.0,Midfielder
Mousa Dembélé,1987-07-16,Belgium,,185.0,Midfielder
Jonathan De Bie,2000-05-28,Belgium,,,Goalkeeper
Anthony Georgiou,1997-02-24,Cyprus,,179.0,Midfielder
Jack Roles,1999-02-26,Cyprus,,,Midfielder
Heurelho Gomes,1981-02-15,Brazil,,191.0,Goalkeeper
Pontus Dahlberg,1999-01-21,Sweden,,194.0,Goalkeeper
Daryl Janmaat,1989-07-22,Netherlands,,185.0,Defender
Miguel Britos,1985-07-17,Uruguay,,188.0,Defender
Sebastian Prödl,1987-06-21,Austria,,194.0,Defender
Adrian Mariappa,1986-10-03,Jamaica,,180.0,Defender
Marc Navarro,1995-07-02,Spain,,188.0,Defender
José Holebas,1984-06-27,Greece,,184.0,Defender
Nathaniel Chalobah,1994-12-12,England,,187.0,Midfielder
Domingos Quina,1999-11-18,Portugal,,179.0,Midfielder
Etienne Capoue,1988-07-11,France,,189.0,Midfielder
Roberto Pereyra,1991-01-07,Argentina,,182.0,Midfielder
Gerard Deulofeu,1994-03-13,Spain,,177.0,Forward
Troy Deeney,1988-06-29,England,,183.0,Forward
Isaac Success,1996-01-07,Nigeria,,186.0,Forward
Adalberto Peñaranda,1997-05-31,Venezuela,,185.0,Forward
Andre Gray,1991-06-26,Jamaica,,178.0,Forward
Marvin Zeegelaar,1990-08-12,Netherlands,,186.0,Defender
Younes Kaboul,1986-01-04,France,,193.0,Defender
Dimitri Foulquier,1993-03-23,Guadeloupe,,183.0,Defender
Ben Wilmot,1999-11-04,England,,188.0,Defender
Dodi Lukébakio,1997-09-24,Belgium,,187.0,Midfielder
Stefano Okaka,1989-08-09,Italy,,186.0,Forward
Kane Crichlow,2000-08-21,Bermuda,,,Midfielder
Harry Forster,2000-05-11,England,,,Midfielder
Tom Dele-Bashiru,1999-09-17,Nigeria,,183.0,Midfielder
Sam Dalby,1999-12-07,England,,,Forward
Adam Parkes,1999-11-30,England,,,Goalkeeper
Mason Barrett,1999-09-24,England,,,Defender
Bayli Spencer-Adams,2001-06-26,England,,,Defender
Callum Whelan,1998-09-24,England,,,Midfielder
Joseph Hungbo,2000-01-15,England,,,Midfielder
Kaylen Hinds,1998-01-28,England,,179.0,Forward
Henry Wise,2000-01-01,England,,174.0,Midfielder
Jayden Bennetts,2001-06-26,England,,,Midfielder
Jamal Balogun,2000-01-18,England,,,Defender
Andi Janjeva,2002-10-11,Kosovo,,,Defender
Jerome Sinclair,1996-09-20,England,,173.0,Forward
Winston Reid,1988-07-03,New Zealand,,190.0,Defender
Pablo Zabaleta,1985-01-16,Argentina,,176.0,Defender
Pedro Obiang,1992-03-27,Equatorial Guinea,,185.0,Midfielder
Carlos Sánchez,1986-02-06,Colombia,,182.0,Midfielder
Samir Nasri,1987-06-26,France,,175.0,Midfielder
Marko Arnautovic,1989-04-19,Austria,,192.0,Forward
Chicharito,1988-06-01,Mexico,,175.0,Forward
Lucas Pérez,1988-09-10,Spain,,180.0,Forward
Reece Oxford,1998-12-16,England,,193.0,Defender
Joe Powell,1998-10-30,England,,178.0,Midfielder
Sead Haksabanovic,1999-05-04,Montenegro,,173.0,Midfielder
Edimilson Fernandes,1996-04-15,Switzerland,,187.0,Midfielder
Toni Martínez,1997-06-30,Spain,,180.0,Forward
Jordan Hugill,1992-06-04,England,,183.0,Forward
Daniel Kemp,1999-01-11,England,,,Midfielder
Elliot Watt,2000-03-11,Scotland,,175.0,Midfielder
Pote,1998-06-28,Portugal,,173.0,Midfielder
Niall Ennis,1999-05-20,England,,180.0,Forward
Joe Mason,1991-05-13,England,,178.0,Forward
Léo Bonatini,1994-03-28,Brazil,,185.0,Forward
Danny Batth,1990-09-21,England,,191.0,Defender
Benny Ashley-Seal,1998-11-21,England,,,Forward
Paul Gladon,1992-03-18,Netherlands,,188.0,Forward
Bright Enobakhare,1998-02-08,Nigeria,,178.0,Forward
Benik Afobe,1993-02-12,DR Congo,,183.0,Forward
Roderick Miranda,1991-03-30,Portugal,,191.0,Defender
Rafa Mir,1997-06-18,Spain,,191.0,Forward
Dion Sanderson,1999-12-15,England,,,Defender
Ed Francis,1999-09-11,England,,182.0,Defender
Nathaniel Shio Hong Wan,2000-08-17,England,,,Midfielder
Jesús Vallejo,1997-01-05,Spain,,184.0,Defender
Renat Dadashov,1999-05-17,Azerbaijan,,186.0,Forward
Flávio Cristóvão,1997-05-23,Portugal,,185.0,Defender
Luke Matheson,2002-10-02,England,,,Defender
Dejan Iliev,1995-02-25,North Macedonia,,195.0,Goalkeeper
Per Mertesacker,1984-09-29,Germany,,198.0,Defender
Jordi Osei-Tutu,1998-10-02,England,,176.0,Defender
Santi Cazorla,1984-12-13,Spain,,168.0,Midfielder
Vlad Dragomir,1999-04-24,Romania,,178.0,Midfielder
Charlie Gilmour,1999-02-11,Scotland,,171.0,Midfielder
Jeff Reine-Adélaïde,1998-01-17,France,,183.0,Midfielder
Chuba Akpom,1995-10-09,England,,183.0,Forward
Adam Federici,1985-01-31,Australia,,188.0,Goalkeeper
Brad Smith,1994-04-09,Australia,,178.0,Defender
Emerson Hyndman,1996-04-09,United States,,170.0,Midfielder
Mikael Ndjoli,1998-12-16,England,,183.0,Forward
Rhoys Wiggins,1987-11-04,Wales,,173.0,Defender
Baily Cargill,1995-07-05,England,,189.0,Defender
Shaun Hobson,1998-06-29,England,,,Defender
Lewis Grabban,1988-01-12,England,,183.0,Forward
Ben Whitfield,1996-02-28,England,,165.0,Midfielder
Niki Mäenpää,1985-01-23,Finland,,190.0,Goalkeeper
Uwe Hünemeier,1986-01-09,Germany,,189.0,Defender
Connor Goldson,1992-12-18,England,,191.0,Defender
Liam Rosenior,1984-07-09,England,,178.0,Defender
Jiri Skalak,1992-03-12,Czech Republic,,177.0,Midfielder
Steve Sidwell,1982-12-14,England,,178.0,Midfielder
Des Hutchinson,1996-12-05,Ireland,,,Midfielder
Sam Baldock,1989-03-15,England,,170.0,Forward
Rohan Ince,1992-11-08,England,,191.0,Midfielder
Richard Towell,1991-07-17,Ireland,,173.0,Forward
Dean Marney,1984-01-31,England,,183.0,Midfielder
Neil Etheridge,1990-02-07,Philippines,,188.0,Goalkeeper
Brian Murphy,1983-05-07,Ireland,,183.0,Goalkeeper
Joe Bennett,1990-03-28,England,,183.0,Defender
Sean Morrison,1991-01-08,England,,193.0,Defender
Bruno Ecuele Manga,1988-07-16,Gabon,,186.0,Defender
Jazz Richards,1991-04-12,Wales,,185.0,Defender
Sol Bamba,1985-01-13,Cote D’Ivoire,,190.0,Defender
Gregory Halford,1984-12-08,England,,193.0,Defender
Matthew Connolly,1987-09-24,England,,188.0,Defender
Callum Paterson,1994-10-13,Scotland,,183.0,Forward
Armand Traore,1989-10-08,Senegal,,185.0,Defender
Cameron Coxe,1998-12-18,Wales,,185.0,Defender
Joe Ralls,1993-10-12,England,,183.0,Midfielder
Kadeem Harris,1993-06-08,England,,175.0,Midfielder
Liam Feeney,1986-04-28,England,,183.0,Midfielder
Anthony Pilkington,1988-06-06,Ireland,,180.0,Midfielder
Aron Gunnarsson,1989-04-22,Iceland,,178.0,Midfielder
Loïc Damour,1991-01-08,France,,180.0,Midfielder
Craig Bryson,1986-11-06,Scotland,,170.0,Midfielder
Jamie Ward,1986-05-12,Northern Ireland,,165.0,Midfielder
Mark Harris,1998-12-29,Wales,,182.0,Midfielder
Danny Ward,1991-12-11,England,,178.0,Forward
Nathaniel Mendez-Laing,1992-04-15,England,,180.0,Midfielder
Frédéric Gounongbe,1988-05-01,Benin,,191.0,Forward
Ibrahim Meite,1996-07-29,England,,188.0,Forward
Junior Hoilett,1990-06-05,Canada,,173.0,Midfielder
Allan McGregor,1982-01-31,Scotland,,183.0,Goalkeeper
Greg Cunningham,1991-01-31,Ireland,,183.0,Defender
Josh Murphy,1995-02-24,England,,173.0,Midfielder
Alex Smithies,1990-03-05,England,,185.0,Goalkeeper
Lee Camp,1984-08-22,Northern Ireland,,183.0,Goalkeeper
Declan John,1995-06-30,Wales,,178.0,Defender
Stuart O'Keefe,1991-03-04,England,,173.0,Midfielder
Matthew Kennedy,1994-11-01,Northern Ireland,,175.0,Midfielder
Rhys Healey,1994-12-06,England,,180.0,Forward
Ciaron Brown,1998-01-14,Northern Ireland,,185.0,Defender
Lloyd Humphries,1997-10-03,Wales,,,Midfielder
Leandro Bacuna,1991-08-21,Curacao,,187.0,Midfielder
Emiliano Sala,1990-10-31,Argentina,,187.0,Forward
Jack Bodenham,1999-09-29,Wales,,,Defender
Lee Tomlin,1989-01-12,England,,180.0,Forward
Omar Bogle,1992-07-26,England,,187.0,Forward
Thibaut Courtois,1992-05-11,Belgium,,199.0,Goalkeeper
Eduardo,1982-09-19,Portugal,,187.0,Goalkeeper
Kyle Scott,1997-12-22,United States,,172.0,Midfielder
Eden Hazard,1991-01-07,Belgium,,175.0,Forward
Cristián Cuevas,1995-04-02,Chile,,173.0,Defender
Jérémie Boga,1997-01-03,Cote D’Ivoire,,172.0,Midfielder
Charly Musonda,1996-10-15,Belgium,,173.0,Midfielder
Jared Thompson,1999-02-23,Northern Ireland,,,Goalkeeper
Bradley Collins,1997-02-18,England,,184.0,Goalkeeper
Diego Cavalieri,1982-12-01,Brazil,,189.0,Goalkeeper
Dion Henry,1997-09-12,England,,180.0,Goalkeeper
Damien Delaney,1981-07-20,Ireland,,191.0,Defender
Yohan Cabaye,1986-01-14,France,,174.0,Midfielder
Lee Chung-Yong,1988-07-02,South Korea,,180.0,Midfielder
Jason Lokilo,1998-09-17,DR Congo,,175.0,Midfielder
Erdal Rakip,1996-02-13,North Macedonia,,180.0,Midfielder
Levi Lumeka,1998-09-05,England,,170.0,Forward
Joel Robles,1990-06-17,Spain,,195.0,Goalkeeper
Ashley Williams,1984-08-23,Wales,,183.0,Defender
Ramiro Mori,1991-03-05,Argentina,,186.0,Defender
Morgan Feeney,1999-02-08,England,,190.0,Defender
Michael Collins,2000-09-22,England,,,Defender
Davy Klaassen,1993-02-21,Netherlands,,179.0,Midfielder
Alex Denny,2000-04-12,England,,186.0,Midfielder
Fraser Hornby,1999-09-13,Scotland,,195.0,Midfielder
Shayne Lavery,1998-12-08,Northern Ireland,,,Forward
Stephen Duke-McKenna,2000-08-17,Guyana,,,Midfielder
Marcelo Djaló,1993-10-08,Guinea-Bissau,,193.0,Defender
Tayo Edun,1998-05-14,England,,170.0,Midfielder
Ibrahima Cissé,1994-02-28,Guinea,,184.0,Midfielder
Rui Fonte,1990-04-23,Portugal,,179.0,Forward
Floyd Ayité,1988-12-15,Togo,,175.0,Forward
Mattias Käit,1998-06-29,Estonia,,186.0,Midfielder
Cauley Woodrow,1994-12-02,England,,184.0,Forward
Marlon Fossey,1998-09-09,United States,,180.0,Defender
Moritz Jenz,1999-04-30,Germany,,190.0,Defender
Jon Thorsteinsson,1998-11-26,Iceland,,177.0,Midfielder
Taye Ashby-Hammond,1999-03-21,England,,186.0,Goalkeeper
André Schürrle,1990-11-06,Germany,,184.0,Midfielder
Sergio Rico,1993-09-01,Spain,,195.0,Goalkeeper
Luciano Vietto,1993-12-05,Argentina,,174.0,Forward
Ryan Babel,1986-12-19,Netherlands,,185.0,Midfielder
Håvard Nordtveit,1990-06-21,Norway,,188.0,Defender
Joel Coleman,1995-09-26,England,,198.0,Goalkeeper
Tommy Smith,1992-04-14,England,,186.0,Defender
Scott Malone,1991-03-25,England,,189.0,Defender
Chris Löwe,1989-04-16,Germany,,175.0,Defender
Christopher Schindler,1990-04-29,Germany,,188.0,Defender
Jon Stankovic,1996-01-14,Slovenia,,190.0,Defender
Florent Hadergjonaj,1994-07-31,Kosovo,,182.0,Defender
Jordan Williams,1999-10-22,England,,179.0,Defender
Michael Hefele,1990-09-01,Germany,,192.0,Defender
Dean Whitehead,1982-01-12,England,,180.0,Midfielder
Jonathan Hogg,1988-12-06,England,,170.0,Midfielder
Sean Scannell,1990-09-17,Ireland,,176.0,Midfielder
Abdelhamid Sabiri,1996-11-28,Germany,,186.0,Midfielder
Rajiv van La Parra,1991-06-04,Netherlands,,181.0,Midfielder
Danny Williams,1989-03-08,United States,,182.0,Midfielder
Alex Pritchard,1993-05-03,England,,171.0,Midfielder
Tom Ince,1992-01-30,England,,178.0,Midfielder
Lewis O'Brien,1998-10-14,England,,173.0,Midfielder
Elias Kachunga,1992-04-22,DR Congo,,178.0,Forward
Laurent Depoitre,1988-12-07,Belgium,,191.0,Forward
Collin Quaner,1991-06-18,Germany,,191.0,Forward
Steve Mounié,1994-09-29,Benin,,190.0,Forward
Ramadan Sobhi,1997-01-23,Egypt,,189.0,Midfielder
Ben Hamer,1987-11-20,England,,192.0,Goalkeeper
Juninho Bacuna,1997-08-07,Curacao,,178.0,Midfielder
Tareiq Holmes-Dennis,1995-10-31,England,,175.0,Defender
Jack Payne,1994-10-25,England,,165.0,Midfielder
Jordy Hiwula-Mayifuila,1994-09-21,England,,178.0,Forward
Ryan Schofield,1999-12-11,England,,190.0,Goalkeeper
Erik Durm,1992-05-12,Germany,,182.0,Defender
Adama Diakhaby,1996-07-05,France,,184.0,Forward
Rarmani Edmonds-Green,1999-01-14,England,,,Defender
Samuel Sharrock-Peplow,2002-07-14,England,,,Midfielder
Isaac Mbenza,1996-03-08,Belgium,,187.0,Midfielder
Demeaco Duhaney,1998-10-13,England,,180.0,Defender
Matty Daly,2001-03-10,England,,,Midfielder
Aaron Rowe,2000-09-07,England,,,Midfielder
Ben Jackson,2001-02-22,England,,,Defender
Robert Huth,1984-08-18,Germany,,191.0,Defender
Aleksandar Dragovic,1991-03-06,Austria,,186.0,Defender
Sam Hughes,1997-04-15,England,,,Defender
Ahmed Musa,1992-10-14,Nigeria,,171.0,Forward
Josh Gordon,1994-10-10,England,,178.0,Forward
Connor Barrett,2002-03-01,England,,,Midfielder
Ádám Bogdán,1987-09-27,Hungary,,193.0,Goalkeeper
Conor Masterson,1998-09-08,Ireland,,,Defender
Emre Can,1994-01-12,Germany,,186.0,Midfielder
Paulo Alves,1997-12-25,Portugal,,176.0,Midfielder
Jon Flanagan,1993-01-01,England,,181.0,Defender
Pablo Maffeo,1997-07-12,Spain,,172.0,Defender
Yaya Touré,1983-05-13,Cote D’Ivoire,,188.0,Midfielder
Olarenwaju Kayode,1993-05-08,Nigeria,,176.0,Forward
Tyreke Wilson,1999-12-02,Ireland,,,Defender
Nathanael Ogbeta,2001-04-28,England,,,Defender
Benjamín Garré,2000-07-11,Argentina,,172.0,Midfielder
Rabbi Matondo,2000-09-09,Wales,,175.0,Forward
Daley Blind,1990-03-09,Netherlands,,180.0,Defender
Michael Carrick,1981-07-28,England,,188.0,Midfielder
Demetri Mitchell,1997-01-11,England,,181.0,Defender
Ro-Shaun Williams,1998-09-03,England,,188.0,Defender
Chancel Mbemba,1994-08-08,DR Congo,,182.0,Defender
Massadio Haïdara,1992-12-02,Mali,,179.0,Defender
Jesús Gámez,1985-04-10,Spain,,177.0,Defender
Mikel Merino,1996-06-22,Spain,,188.0,Midfielder
Matz Sels,1992-02-26,Belgium,,191.0,Goalkeeper
Stuart Taylor,1980-11-28,England,,198.0,Goalkeeper
Jérémy Pied,1989-02-23,France,,174.0,Defender
Dusan Tadic,1988-11-20,Serbia,,181.0,Midfielder
Alfie Jones,1997-10-07,England,,191.0,Defender
Tashan Oakley-Boothe,2000-02-14,England,,182.0,Midfielder
Anton Walkes,1997-02-08,England,,187.0,Defender
Jonathan Dinzeyi,1999-10-13,England,,,Defender
Shilow Tracey,1998-04-29,England,,179.0,Midfielder
Orestis Karnezis,1985-07-11,Greece,,189.0,Goalkeeper
Joy Mukena,1999-07-03,England,,,Defender
Didier Ndong,1994-06-17,Gabon,,179.0,Midfielder
André Carrillo,1991-06-14,Peru,,182.0,Midfielder
Costel Pantilimon,1987-02-01,Romania,,203.0,Goalkeeper
Brice Dja Djédjé,1990-12-23,Cote D’Ivoire,,170.0,Defender
Brandon Mason,1997-09-30,England,,173.0,Defender
Mauro Zárate,1987-03-18,Argentina,,176.0,Forward
Michael Folivi,1998-02-25,England,,180.0,Forward
James Collins,1983-08-23,Wales,,188.0,Defender
Patrice Evra,1981-05-15,France,,174.0,Defender
Josh Pask,1997-11-01,England,,187.0,Defender
Vashon Neufville,1999-07-18,England,,173.0,Defender
João Mário,1993-01-19,Portugal,,179.0,Midfielder
Reece Burke,1996-09-02,England,,189.0,Defender
Martin Samuelsen,1997-04-17,Norway,,189.0,Midfielder
Moses Makasi,1995-09-22,England,,,Midfielder
Carl Ikeme,1986-06-08,Nigeria,,188.0,Goalkeeper
Harry Burgoyne,1996-12-28,England,,195.0,Goalkeeper
Phil Ofosu-Ayeh,1991-09-15,Ghana,,181.0,Defender
Alfred N'Diaye,1990-03-06,Senegal,,193.0,Midfielder
Jordan Graham,1995-03-05,England,,182.0,Midfielder
Sylvain Deslandes,1997-04-25,France,,178.0,Defender
Connor Johnson,1998-03-10,England,,,Defender
Ben Stevenson,1997-03-23,England,,183.0,Midfielder
Connor Ronan,1998-03-06,Ireland,,178.0,Midfielder
Daniel Armstrong,1997-10-11,Scotland,,175.0,Midfielder
Michal Zyro,1992-09-20,Poland,,187.0,Forward
Donovan Wilson,1997-03-14,England,,180.0,Forward
Prince Alban Oniangué,1988-11-04,Congo,,190.0,Midfielder
Cameron John,1999-08-24,England,,,Defender
Pedro Pereira,1998-06-28,Portugal,,173.0,Midfielder
Ethan Ebanks-Landell,1992-12-16,England,,188.0,Defender
Aaron Ramsey,2003-01-21,England,,,Midfielder
Ryan Alebiosu,2001-12-17,England,,,Defender
Jaime Alvarado,1999-07-26,Colombia,,179.0,Midfielder
Julián Álvarez,2000-01-31,Argentina,,173.0,Forward
Joseph Anderson,2001-02-06,England,,,Defender
Yaser Asprilla,2003-11-19,Colombia,,185.0,Midfielder
Ellery Balcombe,1999-10-15,England,,190.0,Goalkeeper
Daniel Barden,2001-01-02,Wales,,195.0,Goalkeeper
Mads Bidstrup,2001-02-25,Denmark,,175.0,Midfielder
Bendeguz Bolla,1999-11-22,Hungary,,,Defender
Finley Burns,2003-06-17,England,,,Defender
Caleb Chukwuemeka,2002-01-25,England,,,Forward
Shea Charles,2003-11-05,Northern Ireland,,,Defender
Harry Clarke,2001-03-02,England,,,Defender
Jake Clarke-Salter,1997-09-22,England,,188.0,Defender
Kamil Conteh,2002-12-26,England,,177.0,Midfielder
Henrik Dalsgaard,1989-07-27,Denmark,,192.0,Defender
Luke Daniels,1988-01-05,England,,185.0,Goalkeeper
Halil Dervisoglu,1999-12-08,Turkey,,183.0,Forward
Thomas Dickson-Peters,2002-09-16,Scotland,,,Forward
Emiliano Marcondes,1995-03-09,Denmark,,182.0,Midfielder
Ashley Fletcher,1995-10-02,England,,185.0,Forward
Marcus Forss,1999-06-18,Finland,,182.0,Forward
Bryan Gil,2001-02-11,Spain,,175.0,Forward
Alex Gilbert,2001-12-28,Ireland,,,Forward
Charlie Goode,1995-08-03,England,,196.0,Defender
Micah Hamilton,2003-11-13,England,,,Midfielder
Jack Henry-Francis,2003-09-23,Ireland,,,Midfielder
Joe Hugill,2003-10-19,England,,,Forward
Mackenzie Hunt,2001-11-14,England,,,Midfielder
Einar Iversen,2001-06-06,Norway,,,Midfielder
Jeong Sang-Bin,2002-04-01,South Korea,,173.0,Forward
Hayao Kawabe,1995-09-08,Japan,,178.0,Midfielder
Kacper Kozlowski,2003-10-16,Poland,,177.0,Midfielder
Malachi Boateng,2002-07-05,England,,,Midfielder
Filip Marschall,2003-04-24,England,,,Goalkeeper
Reece McAlear,2002-02-12,Scotland,,185.0,Midfielder
Kasey McAteer,2001-11-22,England,,,Midfielder
Kaoru Mitoma,1997-05-20,Japan,,178.0,Forward
Jacob Montes,1998-10-20,United States,,,Midfielder
Louie Moulden,2002-01-06,England,,,Goalkeeper
Bali Mumba,2001-10-01,England,,,Defender
Kane O'Connor,2001-01-17,Scotland,,,Defender
Maduka Okoye,1999-08-28,Nigeria,,197.0,Goalkeeper
Jaakko Oksanen,2000-11-07,Finland,,,Midfielder
Josh Oluwayemi,2001-03-13,England,,,Goalkeeper
Pape Sarr,2002-09-14,Senegal,,185.0,Midfielder
Stipe Perica,1995-07-07,Croatia,,192.0,Forward
Luke Plange,2002-11-04,England,,178.0,Forward
Maurizio Pochettino,2001-03-30,Spain,,,Midfielder
Matthew Pollock,2001-09-28,England,,,Defender
Aaron Pressley,2001-11-07,Scotland,,189.0,Forward
Xavi Quintillá,1996-08-23,Spain,,183.0,Defender
Luka Racic,1999-05-08,Denmark,,,Defender
Omar Rekik,2001-12-20,Tunisia,,186.0,Defender
Morgan Rogers,2002-07-26,England,,,Forward
Nathan Shepperd,2000-09-10,Wales,,,Goalkeeper
Abdallah Sima,2001-06-17,Senegal,,,Forward
Danel Sinani,1997-04-05,Luxembourg,,185.0,Midfielder
Tom Smith,2002-01-30,England,,,Goalkeeper
Sebastian Soto,2000-07-28,United States,,183.0,Forward
Kamal Sowah,2000-01-09,Ghana,,179.0,Midfielder
Toby Stevenson,1999-11-22,England,,,Defender
Robert Street,2001-09-26,England,,,Forward
Auston Trusty,1998-08-12,United States,,191.0,Defender
Ozan Tufan,1995-03-23,Turkey,,179.0,Midfielder
Deniz Undav,1996-07-19,Germany,,179.0,Forward
Joel Valencia,1994-11-16,Ecuador,,164.0,Forward
Mikki van Sas,2004-02-29,Netherlands,,,Goalkeeper
Yan Couto,2002-06-03,Brazil,,169.0,Defender
Philip Zinckernagel,1994-12-16,Denmark,,175.0,Forward
